Category;Subcategory;Technologies name;Technologies param;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;final2useful;Comment
;;Name (simplified);Name (in model and documents);"[Meuro/GW]
[Meuro/GWh] 
[Meuro/(Mkmpass/h)] 
[Meuro/(Mtonkm/h)]";"[Meuro/GW/y]
[Meuro/GWh/y] 
[Meuro/(Mkmpass/h)/y] 
[Meuro/(Mtonkm/h)/y]";"[ktonCO2_eq/GW]
[ktonCO2_eq/GWh]
[ktonCO2_eq/(Mkmpass/h)]
[ktonCO2_eq/(Mtonkm/h)]";[years];[];[];[];[GW];[GW];1=Yes/0=No;
Storage;Thermal storage;Centralised seasonal; TS_DHN_SEASONAL ;5.416720588;0.029582841;0;25;1;0;1;0;1.00E+15;0.00E+00;
Storage;Thermal storage;Thermal storage industries; TS_HIGH_TEMP ;44.68328763;0.478237113;0;25;1;0;1;0;1.00E+15;0.00E+00;
Storage;Other storage;Gas storage; GAS_STORAGE ;0.048076923;0.001258812;0;50;1;0;1;0;1.00E+15;0.00E+00;
Storage;Other storage;Hydrogen storage; H2_STORAGE ;6.299949491;0.396927351;0;20;1;0;1;0;1.00E+15;0.00E+00;
Storage;Other storage;Diesel storage; DIESEL_STORAGE ;0.009433962;0.000374528;0;20;1;0;1;0;1.00E+15;0.00E+00;
Storage;Other storage;Gasoline storage; GASOLINE_STORAGE ;0.009433962;0.000374528;0;20;1;0;1;0;1.00E+15;0.00E+00;
Storage;Other storage;LFO storage; LFO_STORAGE ;0.009433962;0.000374528;0;20;1;0;1;0;1.00E+15;0.00E+00;
Storage;Other storage;Ammonia storage; AMMONIA_STORAGE ;0.008333333;0.000330833;0;20;1;0;1;0;1.00E+15;0.00E+00;
Storage;Other storage;Methanol storage; METHANOL_STORAGE ;1.02E-02;4.05E-04;0;20;1;0;1;0;1.00E+15;0.00E+00;
Storage;Other storage;CO2 storage; CO2_STORAGE ;4.95E+01;4.95E-01;0;30;1;0;1;0;1.00E+15;0.00E+00;
